time_slot,user_count
0,5
1,10
2,6
3,7
4,9
5,19
6,20
7,39
8,50
9,58
10,69
11,58
12,58
13,80
14,88
15,110
16,86
17,107
18,68
19,54
20,37
21,42
22,55
23,31
24,13
25,11
26,7
27,8
28,10
29,20
30,16
31,52
32,50
33,58
34,55
35,78
36,104
37,82
38,63
39,59
40,72
41,113
42,116
43,65
44,53
45,31
46,24
47,19
48,12
49,7
50,8
51,9
52,9
53,22
54,45
55,135
56,119
57,76
58,72
59,82
60,82
61,85
62,83
63,74
64,85
65,122
66,136
67,116
68,64
69,53
70,29
71,25
72,11
73,8
74,6
75,5
76,11
77,12
78,55
79,131
80,114
81,79
82,71
83,85
84,75
85,68
86,72
87,85
88,89
89,125
90,153
91,111
92,73
93,59
94,35
95,25
96,5
97,2
98,1
99,4
100,8
101,13
102,53
103,128
104,124
105,73
106,84
107,72
108,83
109,70
110,77
111,81
112,78
113,126
114,127
115,91
116,86
117,62
118,46
119,27
120,10
121,8
122,2
123,2
124,8
125,20
126,45
127,138
128,115
129,87
130,76
131,74
132,82
133,77
134,79
135,88
136,90
137,129
138,172
139,128
140,94
141,73
142,53
143,23
144,8
145,6
146,5
147,3
148,10
149,15
150,29
151,52
152,64
153,79
154,61
155,79
156,69
157,89
158,76
159,64
160,93
161,106
162,90
163,95
164,56
165,48
166,29
167,27
168,6
169,4
170,9
171,6
172,9
173,10
174,17
175,26
176,41
177,43
178,46
179,52
180,65
181,64
182,58
183,77
184,66
185,75
186,58
187,46
188,36
189,26
190,25
191,11
192,5
193,5
194,6
195,3
196,3
197,9
198,18
199,49
200,60
201,46
202,64
203,74
204,85
205,71
206,72
207,69
208,68
209,61
210,125
211,70
212,55
213,36
214,24
215,22
216,8
217,6
218,7
219,4
220,4
221,18
222,49
223,128
224,142
225,74
226,59
227,62
228,67
229,70
230,77
231,62
232,78
233,99
234,128
235,102
236,77
237,55
238,35
239,21
240,7
241,7
242,3
243,8
244,6
245,25
246,52
247,125
248,141
249,83
250,73
251,73
252,84
253,81
254,81
255,90
256,80
257,133
258,150
259,108
260,76
261,48
262,41
263,18
264,10
265,4
266,4
267,6
268,8
269,18
270,42
271,103
272,126
273,79
274,90
275,79
276,81
277,72
278,76
279,70
280,91
281,113
282,108
283,92
284,81
285,70
286,47
287,35
288,11
289,6
290,7
291,7
292,9
293,26
294,53
295,136
296,123
297,84
298,69
299,88
300,82
301,84
302,88
303,93
304,104
305,142
306,181
307,111
308,87
309,81
310,90
311,54
312,13
313,15
314,9
315,6
316,4
317,13
318,24
319,49
320,70
321,58
322,65
323,60
324,80
325,90
326,78
327,85
328,73
329,67
330,70
331,71
332,60
333,52
334,39
335,30
336,7
337,4
338,4
339,3
340,7
341,15
342,28
343,43
344,51
345,56
346,66
347,60
348,72
349,58
350,61
351,70
352,63
353,74
354,52
355,51
356,33
357,32
358,27
359,10
360,9
361,7
362,4
363,4
364,5
365,15
366,38
367,134
368,122
369,71
370,74
371,87
372,77
373,71
374,77
375,72
376,77
377,130
378,120
379,113
380,67
381,57
382,28
383,18
384,5
385,6
386,8
387,7
388,7
389,24
390,45
391,131
392,113
393,80
394,80
395,77
396,88
397,77
398,88
399,71
400,76
401,100
402,147
403,97
404,87
405,70
406,30
407,17
408,11
409,6
410,4
411,6
412,6
413,25
414,48
415,129
416,120
417,84
418,83
419,83
420,63
421,73
422,65
423,65
424,71
425,104
426,141
427,71
428,70
429,64
430,29
431,27
432,5
433,6
434,10
435,5
436,9
437,20
438,33
439,144
440,133
441,88
442,77
443,72
444,87
445,96
446,80
447,69
448,77
449,109
450,141
451,111
452,82
453,59
454,39
455,25
456,10
457,4
458,3
459,9
460,11
461,10
462,51
463,143
464,120
465,86
466,73
467,65
468,90
469,88
470,72
471,83
472,95
473,133
474,175
475,138
476,95
477,85
478,58
479,41
480,15
481,10
482,5
483,7
484,9
485,19
486,32
487,58
488,66
489,77
490,75
491,80
492,86
493,89
494,66
495,66
496,70
497,91
498,77
499,66
500,68
501,56
502,33
503,34
504,8
505,6
506,7
507,5
508,10
509,13
510,15
511,29
512,50
513,56
514,55
515,63
516,60
517,64
518,65
519,70
520,66
