time_slot,user_count
0,31
1,34
2,17
3,15
4,12
5,9
6,6
7,15
8,13
9,18
10,35
11,48
12,62
13,78
14,66
15,73
16,61
17,60
18,70
19,57
20,38
21,29
22,19
23,10
24,12
25,11
26,10
27,5
28,7
29,6
30,6
31,5
32,13
33,23
34,37
35,58
36,80
37,61
38,56
39,58
40,46
41,42
42,49
43,27
44,28
45,28
46,19
47,14
48,2
49,8
50,3
51,4
52,7
53,5
54,7
55,36
56,66
57,57
58,53
59,43
60,86
61,62
62,73
63,63
64,55
65,88
66,89
67,75
68,58
69,41
70,29
71,22
72,8
73,13
74,14
75,9
76,7
77,9
78,6
79,36
80,65
81,45
82,64
83,60
84,81
85,55
86,60
87,56
88,69
89,106
90,105
91,62
92,50
93,60
94,31
95,26
96,22
97,25
98,13
99,6
100,10
101,8
102,9
103,34
104,61
105,53
106,65
107,77
108,76
109,67
110,62
111,64
112,55
113,92
114,86
115,61
116,53
117,57
118,40
119,27
120,17
121,11
122,18
123,7
124,3
125,7
126,8
127,36
128,59
129,48
130,63
131,69
132,81
133,64
134,51
135,69
136,57
137,99
138,131
139,97
140,58
141,92
142,55
143,48
144,36
145,15
146,18
147,12
148,11
149,5
150,10
151,18
152,15
153,35
154,37
155,65
156,78
157,78
158,73
159,84
160,81
161,98
162,94
163,81
164,61
165,65
166,55
167,44
168,29
169,28
170,14
171,13
172,8
173,3
174,12
175,8
176,11
177,38
178,30
179,52
180,61
181,70
182,58
183,68
184,63
185,64
186,53
187,29
188,26
189,29
190,21
191,17
192,13
193,9
194,10
195,5
196,5
197,3
198,5
199,11
200,22
201,21
202,32
203,55
204,61
205,65
206,57
207,66
208,48
209,44
210,38
211,36
212,28
213,22
214,18
215,10
216,9
217,6
218,3
219,3
220,8
221,8
222,14
223,39
224,74
225,45
226,49
227,61
228,74
229,79
230,63
231,61
232,67
233,93
234,81
235,79
236,73
237,56
238,51
239,23
240,16
241,18
242,14
243,10
244,6
245,4
246,12
247,39
248,69
