time_slot,user_count
0,5
1,3
2,4
3,5
4,2
5,9
6,21
7,32
8,41
9,52
10,54
11,47
12,74
13,73
14,79
15,89
16,105
17,89
18,56
19,43
20,32
21,30
22,85
23,30
24,11
25,8
26,6
27,7
28,7
29,14
30,27
31,34
32,49
33,52
34,57
35,78
36,107
37,90
38,42
39,60
40,52
41,154
42,85
43,51
44,29
45,16
46,14
47,16
48,5
49,4
50,3
51,5
52,4
53,12
54,32
55,84
56,98
57,75
58,53
59,83
60,68
61,59
62,52
63,50
64,60
65,78
66,85
67,80
68,68
69,37
70,20
71,13
72,7
73,4
74,3
76,3
77,14
78,34
79,95
80,113
81,80
82,70
83,73
84,77
85,68
86,55
87,66
88,64
89,99
90,109
91,82
92,57
93,33
94,16
95,15
96,7
97,1
98,3
99,3
100,5
101,5
102,22
103,119
104,102
105,77
106,75
107,77
108,66
109,55
110,59
111,68
112,66
113,88
114,97
115,76
116,60
117,51
118,29
119,18
120,3
121,3
122,3
123,4
124,6
125,10
126,34
127,77
128,112
129,73
130,81
131,77
132,72
133,66
134,84
135,78
136,77
137,102
138,132
139,91
140,64
141,54
142,32
143,26
144,17
145,4
146,5
147,4
148,5
149,13
150,17
151,38
152,61
153,47
154,71
155,67
156,78
157,68
158,65
159,63
160,82
161,91
162,75
163,48
164,58
165,39
166,26
167,18
168,12
169,8
170,7
171,8
172,7
173,9
174,17
175,25
176,28
177,37
178,41
179,56
180,48
181,58
182,59
183,59
184,62
185,56
186,46
187,44
188,27
189,22
190,14
191,9
192,11
193,4
194,11
195,12
196,5
197,13
198,19
199,40
200,50
201,53
202,67
203,82
204,100
205,84
206,61
207,53
208,57
209,73
210,131
211,57
212,31
213,25
214,25
215,18
216,9
217,9
218,5
219,1
220,7
221,12
222,37
223,100
224,121
225,74
226,72
227,70
228,68
229,70
230,64
231,72
232,66
233,76
234,100
235,84
236,61
237,46
238,26
239,15
240,8
241,11
242,3
243,3
244,7
245,12
246,34
247,108
248,106
249,78
250,63
251,74
252,89
253,66
254,61
255,77
256,64
257,88
258,112
259,83
260,76
261,43
262,34
263,15
264,8
265,2
266,4
267,4
268,7
269,17
270,30
271,76
272,111
273,82
274,70
275,76
276,80
277,77
278,63
279,57
280,60
281,98
282,93
283,70
284,65
285,31
286,32
287,17
288,11
289,7
290,7
291,5
292,3
293,17
294,28
295,72
296,111
297,83
298,70
299,72
300,81
301,64
302,70
303,76
304,102
305,144
306,130
307,98
308,70
309,102
310,114
311,28
312,11
313,6
314,7
315,2
316,4
317,10
318,18
319,39
320,66
321,57
322,56
323,58
324,69
325,70
326,65
327,65
328,72
329,57
330,57
331,63
332,46
333,27
334,32
335,18
336,8
337,3
338,4
339,4
340,4
341,13
342,21
343,31
344,52
345,53
346,59
347,64
348,69
349,81
350,73
351,61
352,70
353,61
354,51
355,50
356,36
357,25
358,14
359,13
360,5
361,3
362,5
363,4
364,7
365,9
366,30
367,93
368,94
369,70
370,72
371,79
372,82
373,81
374,73
